,target,output,question
269,garden,"Answer:

[Illustration]

[Illustration]

[Illust",Where is the apple? 
270,kitchen,Answer:,Where is the football? 
271,office,Answer:,Where is the apple? 
272,office,Answer:,Where is the apple? 
273,kitchen,"Answer:

<choices>
[i] The corner of the go-down",Where is the football? 
274,office,"Answer:

<context>

<question>

<answer>",Where is the apple? 
275,hallway,"Answer:

<choices>
<!-- answers: --><br>",Where is the milk? 
276,hallway,"Answer:

<choices>
<i>The milk is in the pantry</",Where is the milk? 
277,hallway,"Answer:

<solution>
The answer is: The milk is in the kitchen",Where is the milk? 
278,kitchen,Answer:,Where is the apple? 
279,kitchen,Answer:,Where is the apple? 
280,bathroom,"Answer:

<choices> <a id=""choice1""></a> <",Where is the football? 
281,bathroom,"Answer:

<choices> <a href=""/questions/1"">Q1",Where is the football? 
282,office,"Answer:

Available options:
[i] The kitchen.
[ii]",Where is the milk? 
283,office,"Answer:

Explanation:",Where is the milk? 
284,office,"Answer:

<choices>
<!-- answers: --><br>",Where is the milk? 
285,bedroom,"Answer:
<choices>
[a]. The bedroom.
[b]. The garden",Where is the football? 
286,bedroom,"Answer:

<choices>
[a]. The garden.
[b].",Where is the football? 
287,bedroom,"Answer:

Available options:
(A). in the garden.
(B",Where is the football? 
288,bedroom,"Answer:
<a href=""https://i.stack.imgur.com/99",Where is the football? 
289,bedroom,"Answer:
<choices> <!-- answer -->
<item>The garden</",Where is the football? 
290,office,Answer:,Where is the apple? 
291,office,"Answer:

<choices>
<i>A) The kitchen.</i",Where is the apple? 
292,office,"Answer:

<choices>
<i>A) The office.
<",Where is the apple? 
293,office,Answer:,Where is the apple? 
294,bedroom,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the milk? 
295,hallway,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the milk? 
296,hallway,"Answer:

Possible answers:
[i] in the balcony
[ii]",Where is the football? 
297,hallway,"Answer:

In the garden

In the kitchen

In the bathroom",Where is the milk? 
298,bathroom,"Answer:

Available options:
(i). in the kitchen.
(ii",Where is the apple? 
299,bathroom,"Answer: The garden
Question: Who is the SQUIRE?
Answer: John",Where is the apple? 
300,bedroom,"Answer:

Available options:
(i). in the hallway.
(",Where is the football? 
301,bedroom,"Answer:

Available options:
(A). The hallway.
(B",Where is the football? 
302,office,"Answer:

<context>

<answer>

</answer>",Where is the football? 
303,bedroom,"Answer:

Available options:
[i] The ball is in the kitchen.",Where is the football? 
304,bedroom,"Answer:

<choices>
<i>The football was in the garden.",Where is the football? 
305,bathroom,"Answer:

<choices>
<i>The milk is in the balcony.",Where is the milk? 
306,bathroom,"Answer:

<choices> <!-- answer -->
<!-- answer -->",Where is the milk? 
307,bathroom,"Answer:

<choices>
<listing>
<item>
<",Where is the milk? 
308,bathroom,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the milk? 
309,bathroom,Answer:,Where is the milk? 
310,kitchen,Answer:,Where is the milk? 
311,kitchen,Answer:,Where is the milk? 
312,kitchen,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the milk? 
313,kitchen,"Answer:

<choices> <option>The milk is in the kitchen.</",Where is the milk? 
314,kitchen,"Answer:

<choices>
[i] The kitchen.
[ii]",Where is the milk? 
315,bathroom,"Answer:

<choices>
<listing>
<item>
<",Where is the football? 
316,bathroom,"Answer:

Explanation:",Where is the football? 
317,bathroom,"Answer:

<a href=""https://en.wikipedia.org/wiki/",Where is the football? 
318,office,Answer:,Where is the milk? 
319,kitchen,"Answer:

Available options:
(1). in the office.
(2",Where is the football? 
320,bathroom,"Answer:

Choose your answer from:
[A]. Simiti.
[",Where is the football? 
321,bathroom,"Answer:

<choices>
<i>A) The boy's room.",Where is the football? 
322,bathroom,"Answer:

<context>
<context>
<context>
<context",Where is the football? 
323,bathroom,"Answer:

Available options:
[1]. in the kitchen.
[2",Where is the football? 
324,bathroom,"Answer:

Choose from:
[1]. The kitchen.
[2].",Where is the football? 
325,bathroom,"Answer:

<context>

Answer: The apple is in the garden.",Where is the apple? 
326,bathroom,"Answer:

<context>

<context>

<context>",Where is the apple? 
327,garden,"Answer:

Available options:
1). in the bedroom.
2). in",Where is the football? 
328,garden,"Answer:

<choices> <a href=""/q/1"">A</",Where is the football? 
329,garden,"Answer:

<choices>
<i>The blacksmith's workshop</i>",Where is the football? 
330,garden,"Answer:

<choices> <a href=""/answer"">A</a>",Where is the football? 
331,bathroom,"Answer:

<choices> <a href=""/answer"">A</a>",Where is the apple? 
332,bathroom,"Answer:

<choices>
[a]. The kitchen.
[b].",Where is the apple? 
333,hallway,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the football? 
334,hallway,"Answer:

<choices>
<i>The kitchen</i>,
<",Where is the football? 
335,hallway,"Answer:

<choices>
<!-- answer_list=""choice_list",Where is the football? 
336,hallway,"Options:
[+] in the garden
[+] in the hallway",Where is the football? 
337,hallway,"Answer:

<solution>
The answer is: The football is in the garden",Where is the football? 
338,hallway,Answer:,Where is the football? 
339,bedroom,Answer:,Where is the milk? 
340,garden,"Answer:

<choices>
[i] Avery Street
[ii]",Where is the milk? 
341,garden,"Answer:

<choices> <choice> <context>

<context>",Where is the milk? 
342,hallway,"Answer:

Available options:
(1). The football is in the garden.",Where is the football? 
343,hallway,"Answer:

<context>
""The football was in the garden.
</",Where is the football? 
344,hallway,Answer:,Where is the milk? 
345,garden,"Answer:

<choices>
<i>A) Pocahontas",Where is the football? 
346,garden,"Answer:

In the fields of glory

In the fields of glory",Where is the football? 
347,garden,"Answer:

Available options:
[i] the room where the letter was found",Where is the apple? 
348,garden,"Answer:

<choices>
<i>The barn</i>,
<",Where is the apple? 
349,garden,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the apple? 
350,bedroom,"Answer:

<choices>
<i>The kitchen</i>
<",Where is the milk? 
351,office,"Answer:

<choices> <!-- answer -->
 <!-- answer -->",Where is the milk? 
352,office,"Answer:

<choices>
[i] The kitchen.
[ii]",Where is the milk? 
353,office,"Answer:

Available options:
1). in the kitchen.
2). in",Where is the milk? 
354,kitchen,"OPTIONS:
[A]. in the kitchen.
[B]. in the garden",Where is the football? 
355,hallway,"Answer:

<choices> <a href=""/answer"">A</a>",Where is the football? 
356,hallway,"Answer:

<context>

<context>

<context>",Where is the football? 
357,office,"Answer: The milk is in the hallway.

Question: What is the Sacrament",Where is the milk? 
358,hallway,"Answer:

<context>

<question>

<answer>",Where is the milk? 
359,hallway,"Answer:

Available options:
[A]. The hallway.
[B",Where is the milk? 
360,bedroom,"Answer:

<context>
<context>
<context>
<context",Where is the football? 
361,bedroom,"Answer:

Available options:
[i] bathroom
[ii] kitchen",Where is the football? 
362,bedroom,"Answer:

Available options:
[i] The bedroom.
[ii]",Where is the apple? 
363,bedroom,"Answer:

in the garden

pick up the apple

pick up the",Where is the apple? 
364,bedroom,"Possible answers:
[i] in the kitchen.
[ii] in the garden",Where is the football? 
365,kitchen,"Answer:

<context>

The apple is in the garden.",Where is the apple? 
366,kitchen,"Answer:

<choices>
<i>The orchard</i>
<",Where is the apple? 
367,garden,Answer:,Where is the milk? 
368,bedroom,"Answer:

<choices>
[a]. in the kitchen.
[b",Where is the apple? 
369,bedroom,"Answer:

OPT:
[i] The pagoda.
[ii]",Where is the apple? 
370,kitchen,"Answer:

Available options:
[i] The football is in the kitchen.",Where is the football? 
371,kitchen,"Answer:

Available options:
[i] in the kitchen.
[ii",Where is the apple? 
372,kitchen,"Answer: In the kitchen.

Question: Who is the author of the story?",Where is the apple? 
373,kitchen,"Answer: In the kitchen.

Who is the author of the story?",Where is the apple? 
374,hallway,"Answer:

<context>
The context is: ""Bill 'ad just lit",Where is the milk? 
375,kitchen,"Answer:

<context>

<question>

<answer>",Where is the milk? 
376,kitchen,Answer:,Where is the milk? 
377,kitchen,Answer:,Where is the milk? 
378,office,"Answer:

<context>
_At._ My brother, I'm distracted,",Where is the apple? 
379,office,"Answer:

<context>

<context>

<context>",Where is the apple? 
380,bathroom,"Answer:
<context>
<example>
<context>
<example>",Where is the football? 
381,bathroom,"Answer:

Explanation:",Where is the football? 
382,bathroom,"Answer:

<choices>
<i>A) The kitchen.</i",Where is the football? 
383,bedroom,Answer:,Where is the milk? 
384,bedroom,"Answer:
<choices> <!-- answer -->
<short_answer>the kitchen",Where is the milk? 
385,bathroom,"Answer:

<solution>
The answer is: <context>The milk was",Where is the milk? 
386,bathroom,Answer:,Where is the football? 
387,bathroom,"Answer:

<context>

Frank Tousey's U. S.",Where is the football? 
388,hallway,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the apple? 
389,hallway,"Answer:

<choices> <a href=""/answer"">a</a>",Where is the apple? 
390,hallway,"Answer:

<choices> <!-- answer -->
<!-- answer -->",Where is the milk? 
391,garden,"Answer: <option>

Available options:
[1]. The house on the",Where is the milk? 
