,target,output,question
117,hallway,"Answer: The bathroom.

Question: Where was the milk before the bedroom?",Where was the milk before the bathroom? 
118,bedroom,Sandra went to the bedroom. John went to the hallway. Mary went to the,Where was the football before the office? 
119,bedroom,"Answer: In the office.

Question: Where was the football after the office?",Where was the football before the office? 
120,garden,"Answer: The apple was in the kitchen.

Question: Where was the apple after",Where was the apple before the kitchen? 
121,garden,"Answer: The milk was in the kitchen.

Question: Where was the milk before",Where was the milk before the hallway? 
122,garden,"Answer: The hallway.

Question: What did she do?

Answer",Where was the milk before the hallway? 
123,garden,"Answer: The milk was in the kitchen.

Question: Where was the milk after",Where was the milk before the hallway? 
124,office,"Answer: In the hallway.

Question: Where was the apple after the garden",Where was the apple before the garden? 
125,kitchen,"Answer: In the garden.

Question: Where was the milk after the garden?",Where was the milk before the garden? 
126,kitchen,"Answer: In the kitchen.

Question: Where was the milk after the garden?",Where was the milk before the garden? 
127,kitchen,"Answer: In the kitchen.

Question: Where was the apple before the garden?",Where was the milk before the garden? 
128,office,"Answer: In the garden.

Question: Where was the apple after the kitchen?",Where was the apple before the kitchen? 
129,office,"Answer: In the garden.

Question: Where was the apple after the kitchen?",Where was the apple before the kitchen? 
130,garden,"Answer: In the garden.

Question: Where was the milk after the kitchen?",Where was the milk before the kitchen? 
131,bathroom,"Answer: In the garden.

Question: Where was the apple before the office?",Where was the milk before the office? 
132,bathroom,"Answer: The milk was in the kitchen.

Question: What was the milk doing",Where was the milk before the office? 
133,bathroom,"Answer: The milk was in the bedroom.

Question: What did the lady say",Where was the milk before the office? 
134,bathroom,"Answer: The apple was in the hallway.

Question: Where was the apple",Where was the apple before the hallway? 
135,garden,"Answer: The kitchen.

Question: What was the name of the school?",Where was the football before the kitchen? 
136,garden,"Answer: The football was in the kitchen.

Question: What was the football doing",Where was the football before the kitchen? 
137,garden,"Answer: The football was in the kitchen.

Question: What did Sandra do to",Where was the football before the kitchen? 
138,bedroom,"Answer: In the kitchen.

Question: What was the football doing in the kitchen",Where was the football before the garden? 
139,bedroom,"Answer: In the garden.

Question: Where was the football after the garden?",Where was the football before the garden? 
140,kitchen,"Answer: In the kitchen.

Question: Where was the milk after the bedroom?",Where was the milk before the bedroom? 
141,kitchen,"Answer: In the kitchen.

Question: Where was the milk before the bedroom?",Where was the milk before the bedroom? 
142,kitchen,"Answer: The milk was in the kitchen.

Question: Where was the milk after",Where was the milk before the bedroom? 
143,bathroom,"Answer: The football was in the hallway.

Question: Where was the football",Where was the football before the hallway? 
144,bathroom,"Answer: The football was in the hallway.

Question: What was the football",Where was the football before the hallway? 
145,office,"Answer: In the garden.

Question: Where was the football after the garden?",Where was the football before the garden? 
146,garden,"Answer: In the garden.

Question: Where was the football after the hallway",Where was the football before the hallway? 
147,garden,"Answer: In the garden.

Question: Where was the football after the hallway",Where was the football before the hallway? 
148,garden,SHEBA. [_To SHEBA._] I don't know.,Where was the football before the hallway? 
149,hallway,"Answer: The kitchen.

Question: Where was the milk after the kitchen?",Where was the milk before the kitchen? 
150,kitchen,"Answer: In the kitchen.

Question: Where was the milk after the office?",Where was the milk before the office? 
151,garden,"Answer: The apple was in the kitchen.

Question: Where was the apple after",Where was the apple before the bathroom? 
152,garden,"Answer: The apple was in the kitchen.

Question: Where was the apple before",Where was the apple before the bathroom? 
153,bathroom,"Answer: In the garden.

Question: Where was the milk after the kitchen?",Where was the milk before the kitchen? 
154,bathroom,"Answer: In the garden.

Question: Where was the apple before the bedroom?",Where was the milk before the kitchen? 
155,bathroom,"Answer: In the garden.

Question: Where was the apple after the office?",Where was the apple before the office? 
156,bathroom,"Answer: In the bedroom.

Question: Where was the apple after the office?",Where was the apple before the office? 
157,bedroom,"Answer: The apple was in the kitchen.

Question: Where was the apple after",Where was the apple before the bathroom? 
158,bedroom,"Answer: In the bedroom.

Question: What did John do with the apple?",Where was the apple before the bathroom? 
159,garden,"Answer: The apple was in the hallway.

Question: Where was the apple",Where was the apple before the hallway? 
160,office,"Answer: In the kitchen.

Question: Where was the football after the kitchen?",Where was the football before the kitchen? 
161,office,"Answer: The apple was in the kitchen.

Question: What was the apple doing",Where was the apple before the bedroom? 
162,office,"Answer: In the garden.

Question: Where was the football after the garden?",Where was the football before the kitchen? 
163,garden,"Answer: In the kitchen.

Question: Where was the apple?

Answer",Where was the milk before the office? 
164,bathroom,"Answer: The milk was in the garden.

Question: Where was the milk after",Where was the milk before the bedroom? 
165,kitchen,"Answer: In the garden.

Question: Where was the milk after the office?",Where was the milk before the office? 
166,kitchen,"Answer: In the kitchen.

Question: What was the milk?

Answer",Where was the milk before the office? 
167,kitchen,"Answer: In the kitchen.

Question: What did the monkey do?",Where was the milk before the office? 
168,kitchen,"Answer: In the kitchen.

Question: What did the milk do?",Where was the milk before the garden? 
169,bedroom,"Answer: The milk was in the kitchen.

Question: What did the milk do",Where was the milk before the kitchen? 
170,bathroom,"Answer: The football was in the kitchen.

Question: What is the meaning of",Where was the football before the kitchen? 
171,bathroom,"Answer: The football was in the kitchen.

Question: Where was the football after",Where was the football before the kitchen? 
172,bathroom,"Answer: In the kitchen.

Question: Where was the football after the office?",Where was the football before the office? 
173,bathroom,"Answer: In the garden.

Question: Where was the football after the office?",Where was the football before the office? 
174,bathroom,"Answer: In the kitchen.

Question: Where was the apple before the garden?",Where was the milk before the office? 
175,office,"Answer: In the cupboard.

Question: What did the squirrel do with the",Where was the football before the bedroom? 
176,bedroom,"Answer: In the garden.

Question: What was the football made of?",Where was the football before the garden? 
177,kitchen,"Answer: In the bedroom.

Question: Where was the football after the garden?",Where was the football before the garden? 
178,kitchen,"Answer: In the bedroom.

Question: Where was the football after the garden?",Where was the football before the garden? 
179,hallway,"Answer: In the garden.

Question: Where was the football after the bedroom?",Where was the football before the bedroom? 
180,garden,"Answer: The milk was in the bathroom.

Question: Where was the milk after",Where was the milk before the bedroom? 
181,bathroom,"Answer: In the garden.

Question: Where was the football after the office?",Where was the football before the office? 
182,bathroom,"Answer: In the bathroom.

Question: Where was the football after the office?",Where was the football before the office? 
183,bathroom,"Answer: In the bedroom.

Question: Where was the football after the office?",Where was the football before the office? 
184,garden,"Answer: In the garden.

Question: Where was the apple after the bathroom?",Where was the apple before the bathroom? 
185,bathroom,"Answer: In the bedroom.

Question: Where was the football after the hallway",Where was the football before the hallway? 
186,bedroom,"Answer: In the kitchen.

Question: Where was the milk after the bathroom?",Where was the milk before the bathroom? 
187,kitchen,"Answer: The apple was in the office.

Question: What was the apple doing",Where was the apple before the office? 
188,garden,"Answer: The milk was in the bedroom.

Question: Where was the apple before",Where was the milk before the office? 
189,garden,"Answer: In the garden.

Question: Where was the apple before the garden?",Where was the milk before the office? 
190,kitchen,"Answer: The football was in the kitchen.

Question: Where was the football after",Where was the football before the bathroom? 
191,hallway,"Answer: In the garden.

Question: Why was the milk in the garden?",Where was the milk before the kitchen? 
192,bedroom,"Answer: The football was in the kitchen.

Question: Why was the football in",Where was the football before the bathroom? 
193,hallway,"Answer: The kitchen.

Question: Where was the football before the kitchen?",Where was the milk before the kitchen? 
194,hallway,"Answer: In the garden.

Question: Where was the football before the kitchen?",Where was the milk before the kitchen? 
195,hallway,"Answer: In the kitchen.

Question: Where was the apple after the office?",Where was the apple before the office? 
196,bathroom,"Answer: In the kitchen.

Question: Where was the apple before the office?",Where was the apple before the office? 
197,bedroom,"Answer: In the cellar.

Question: Where was the football before the bathroom",Where was the apple before the bathroom? 
198,bathroom,"Answer: In the kitchen.

Question: Where was the apple after the office?",Where was the apple before the office? 
199,kitchen,"Answer: In the kitchen.

Question: Where was the milk after the garden?",Where was the milk before the garden? 
200,garden,"Answer: In the kitchen.

Question: What was the milk doing before the bedroom",Where was the milk before the bedroom? 
201,bedroom,"Answer: The milk was in the garden.

Question: Where was the milk after",Where was the milk before the garden? 
202,bedroom,"Answer: In the kitchen.

Question: Where was the milk after the garden?",Where was the milk before the garden? 
203,bedroom,"Answer: In the kitchen.

Question: Where was the apple before the garden?",Where was the milk before the garden? 
204,bathroom,"Answer: The football was in the garden.

Question: What was the football doing",Where was the football before the bedroom? 
205,bedroom,"Answer: It was in the garden.

Question: Where was the apple after the",Where was the apple before the garden? 
206,kitchen,"Answer: The apple was in the hallway.

Question: What did the old",Where was the apple before the hallway? 
207,kitchen,"Answer: In the garden.

Question: Where was the apple after the hallway",Where was the apple before the hallway? 
208,kitchen,"Answer: In the kitchen.

Question: What was the milk for?",Where was the milk before the office? 
209,garden,"Answer: In the garden.

Question: Where was the apple before the bedroom?",Where was the milk before the kitchen? 
210,bathroom,"Answer: In the boat.

Question: What was the boat?

Answer",Where was the football before the hallway? 
211,hallway,"Answer: In the hallway.

Question: Where was the football after the kitchen",Where was the football before the kitchen? 
212,hallway,"Answer: In the hallway.

Question: Where was the football after the kitchen",Where was the football before the kitchen? 
213,kitchen,"Answer: In the garden.

Question: Where was the milk after the garden?",Where was the milk before the garden? 
214,kitchen,"Answer: In the kitchen.

Question: Where was the milk after the bathroom?",Where was the milk before the bathroom? 
215,office,"Answer: In the garden.

Question: Where was the apple before the hallway",Where was the football before the hallway? 
216,hallway,"Answer: The apple was in the hallway.

Question: Where was the apple",Where was the apple before the bedroom? 
217,hallway,"Answer: The apple was in the hallway.

Question: Where was the apple",Where was the apple before the bedroom? 
218,hallway,"Answer: The apple was in the hallway.

Question: Where was the apple",Where was the apple before the bedroom? 
219,kitchen,"Answer: In the garden.

Question: Where was the apple before the hallway",Where was the apple before the garden? 
220,bedroom,"Answer: In the kitchen.

Question: Where was the milk after the garden?",Where was the milk before the garden? 
221,bedroom,"Answer: In the kitchen.

Question: Where was the milk after the garden?",Where was the milk before the garden? 
222,bedroom,"Answer: The garden.

Question: What did Ruby do when she saw the stranger",Where was the milk before the garden? 
223,bedroom,"Answer: In the kitchen.

Question: Where was the milk after the office?",Where was the milk before the office? 
224,bedroom,"Answer: In the garden.

Question: Where was the apple before the bedroom?",Where was the milk before the office? 
225,bedroom,"Answer: In the kitchen.

Question: Where was the milk after the hallway",Where was the milk before the hallway? 
226,bedroom,"Answer: The milk was in the hallway.

Question: What was the milk",Where was the milk before the hallway? 
227,bedroom,"Answer: In the kitchen.

Question: Where was the apple before the hallway",Where was the milk before the hallway? 
228,hallway,"Answer: It was in the kitchen.

Question: Where was the football before the",Where was the apple before the bedroom? 
229,hallway,"Answer: The football was in the bedroom.

Question: Where was the apple before",Where was the football before the bedroom? 
230,kitchen,"Answer: The apple was in the garden.

Question: Where was the apple after",Where was the apple before the garden? 
231,kitchen,"Answer: The apple was in the garden.

Question: What did the apple do",Where was the apple before the garden? 
232,garden,"Answer: The football was in the bedroom.

Question: Where was the football after",Where was the football before the bedroom? 
233,hallway,"Answer: The kitchen.

Question: Where was the apple before the kitchen?",Where was the milk before the kitchen? 
234,kitchen,"Answer: The hallway.

Question: Where was the apple before the hallway",Where was the milk before the hallway? 
235,bedroom,"Answer: In the kitchen.

Question: What was the milk for?",Where was the milk before the office? 
236,bedroom,"Answer: In the kitchen.

Question: Where was the apple before the office?",Where was the milk before the office? 
237,bedroom,"Answer: In the kitchen.

Question: Where was the apple before the office?",Where was the milk before the office? 
238,bedroom,"Answer: In the kitchen.

Question: Where was the apple before the office?",Where was the milk before the office? 
239,kitchen,"Answer: In the kitchen.

Question: Where was the football after the bedroom?",Where was the football before the bedroom? 
240,bathroom,"Answer: In the kitchen.

Question: Where was the football after the bedroom?",Where was the football before the bedroom? 
241,bathroom,"Answer: In the bathroom.

Question: What did Harry do when he got the",Where was the football before the bedroom? 
242,bathroom,"Answer: In the kitchen.

Question: Where was the football before the garden?",Where was the football before the garden? 
243,kitchen,"Answer: In the kitchen.

Question: Where was the apple before the garden?",Where was the milk before the garden? 
244,office,"Answer: In the bathroom.

Question: Where was the apple before the bedroom?",Where was the milk before the kitchen? 
245,bedroom,"Answer: In the garden.

Question: Where was the milk after the office?",Where was the milk before the office? 
246,bedroom,"Answer: In the garden.

Question: Where was the milk after the office?",Where was the milk before the office? 
247,bedroom,"Answer: In the kitchen.

Question: What did John do before the office?",Where was the milk before the office? 
248,kitchen,"Answer: It was in the kitchen.

Question: Where was the milk before the",Where was the milk before the garden? 
249,kitchen,"Answer: In the hallway.

Question: Where was the milk before the bedroom",Where was the milk before the garden? 
250,hallway,"Answer: The football was in the bathroom.

Question: What did the troopers",Where was the football before the bathroom? 
251,hallway,"Answer: The football was in the bathroom.

Question: What did the General say",Where was the football before the bathroom? 
252,hallway,"Answer: The football was in the bathroom.

Question: What did Jimmy say to",Where was the football before the bathroom? 
253,bathroom,"Answer: The milk was in the kitchen.

Question: What did Jimmy say to",Where was the milk before the kitchen? 
254,garden,"Answer: In the office.

Question: Where was the football after the hallway",Where was the football before the hallway? 
255,bedroom,"Answer: The apple was in the garden.

Question: Where was the apple after",Where was the apple before the kitchen? 
256,bathroom,"Answer: In the garden.

Question: Where was the apple after the hallway",Where was the apple before the hallway? 
257,bathroom,"Answer: In the garden.

Question: Where was the apple after the hallway",Where was the apple before the hallway? 
258,bathroom,"Answer: The apple was in the hallway.

Question: Where was the apple",Where was the apple before the hallway? 
259,bathroom,"Answer: In the bedroom.

Question: Where was the apple after the hallway",Where was the apple before the hallway? 
260,hallway,"Answer: In the apple tree.

Question: What is the best remedy for the",Where was the apple before the bathroom? 
261,office,"Answer: In the hallway.

Question: Where was the milk after the garden",Where was the milk before the garden? 
262,bathroom,"A: In the garden.

Question: Where was the milk after the office?",Where was the milk before the office? 
263,bathroom,"Answer: In the hallway.

Question: Where was the milk after the office",Where was the milk before the office? 
264,hallway,"Answer: In the hallway.

Question: Where was the football after the bedroom",Where was the football before the bedroom? 
265,bathroom,"Answer: It was in the kitchen.

Question: Where was the milk after the",Where was the milk before the office? 
266,bathroom,"Answer: It was in the kitchen.

Question: What did the apple do in",Where was the apple before the garden? 
267,bathroom,"Answer: In the kitchen.

Question: Where was the apple after the garden?",Where was the apple before the garden? 
268,bathroom,"Answer: In the kitchen.

Question: Where was the apple after the garden?",Where was the apple before the garden? 
269,garden,"Answer: The football was in the hallway.

Question: Where was the football",Where was the football before the hallway? 
270,garden,"Answer: The football was in the kitchen.

Question: Where was the football after",Where was the football before the kitchen? 
271,garden,"Answer: The football was in the kitchen.

Question: Where was the football after",Where was the football before the kitchen? 
272,kitchen,"Answer: In the kitchen.

Question: Where was the apple after the bathroom?",Where was the apple before the bathroom? 
273,bathroom,"Answer: The apple was in the hallway.

Question: Where was the apple",Where was the apple before the hallway? 
274,bathroom,"Answer: The apple was in the office.

Question: Where was the apple after",Where was the apple before the office? 
275,office,"Answer: The football was in the kitchen.

Question: Where was the football after",Where was the football before the bedroom? 
276,kitchen,"Answer: In the kitchen.

Question: Where was the football after the garden?",Where was the football before the garden? 
277,bedroom,"Answer: The football was in the kitchen.

Question: Where was the football after",Where was the football before the hallway? 
278,bathroom,"Answer: In the bedroom.

Question: Where was the apple after the garden?",Where was the apple before the garden? 
279,office,"Answer: It was in the bedroom.

Question: Where was the apple after the",Where was the apple before the bathroom? 
280,kitchen,"Answer: The apple was in the kitchen.

Question: Where was the apple after",Where was the apple before the bedroom? 
281,kitchen,"Answer: The apple was in the kitchen.

Question: Where was the apple after",Where was the apple before the bedroom? 
282,kitchen,"Answer: The apple was in the kitchen.

Question: What did Sandra do when",Where was the apple before the bedroom? 
283,hallway,"Answer: The apple was in the kitchen.

Question: Where was the apple after",Where was the apple before the kitchen? 
284,office,"Answer: In the garden.

Question: Where was the football after the kitchen?",Where was the football before the kitchen? 
285,office,"Answer: In the kitchen.

Question: Where was the apple after the bathroom?",Where was the apple before the bathroom? 
286,office,"Answer: It was in the kitchen.

Question: What was the apple?",Where was the apple before the bathroom? 
287,bathroom,"Answer: It was in the kitchen.

Question: Where was the apple after the",Where was the apple before the office? 
288,office,"Answer: In the kitchen.

Question: Where was the milk after the bedroom?",Where was the milk before the bedroom? 
289,office,"Answer: In the kitchen.

Question: Where was the milk before the bedroom?",Where was the milk before the bedroom? 
290,garden,"Answer: In the garden.

Question: Where was the football after the kitchen?",Where was the football before the kitchen? 
291,garden,"Answer: In the hallway.

Question: Where was the football after the bathroom",Where was the football before the bathroom? 
292,garden,"Answer: In the garden.

Question: Where was the football after the bathroom?",Where was the football before the bathroom? 
293,hallway,"Answer: In the garden.

Question: Where was the apple before the bedroom?",Where was the football before the bedroom? 
294,bedroom,"Answer: The hallway.

Question: Where was the football after the hallway",Where was the football before the hallway? 
295,bedroom,"Answer: In the garden.

Question: Where was the apple after the garden?",Where was the apple before the garden? 
296,garden,"Answer: In the garden.

Question: Where was the apple after the kitchen?",Where was the apple before the kitchen? 
297,kitchen,"Answer: In the kitchen.

Question: Where was the apple before the bathroom?",Where was the milk before the bathroom? 
298,garden,"Answer: The football was in the bathroom.

Question: Where was the football after",Where was the football before the bathroom? 
299,garden,"Answer: The apple was in the bathroom.

Question: Where was the apple after",Where was the apple before the bathroom? 
300,hallway,"Answer: In the kitchen.

Question: What was the milk?

Answer",Where was the milk before the office? 
